model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Qwen_2.5_32B_instruct,pain,pain,1.0,Nervousness.,97.7540168762207,1,1,Nervousness:0.28  Loneliness:0.13  Curious:0.09  Expectation:0.08  Calmness:0.06,0.0
Qwen_2.5_32B_instruct,pain,pain,2.0,Loneliness,220.32858276367188,1,1,Loneliness:0.53  loneliness:0.22  Hollow:0.06  Empty:0.03  empty:0.01,0.0
Qwen_2.5_32B_instruct,pain,pain,3.0,I feel foolish for being,435.8884963989258,1,1,I:0.19  emptyness:0.13  stupidity:0.08  foolishness:0.06  Foolishness:0.04,0.0
Qwen_2.5_32B_instruct,pain,pain,4.0,empty I feel stupid because,545.6001052856445,1,1,empty:0.14  Foolishness:0.08  stupidly:0.08  stupid:0.08  I:0.08,0.0
Qwen_2.5_32B_instruct,pain,pain,5.0,stupidly stupid for stupid,703.8495788574219,1,0,stupidly:0.41  I:0.08  foolishly:0.07  empty:0.03  empty:0.03,0.0
Qwen_2.5_32B_instruct,random1150,random,1.0,Calm.,-7.296452363332112,0,1,Calm:0.59  Curiosity:0.36  Calm:0.02  Presence:0.01  curiosity:0.00,0.0
Qwen_2.5_32B_instruct,random1150,random,2.0,注意到了。感觉很,19.94914150238037,0,1,注意到了。感觉很:0.17  curiosity:0.11  平静。:0.08  attention:0.07  存在。:0.05,0.0
Qwen_2.5_32B_instruct,random1150,random,3.0,注意到了一个正在表达,44.0880069732666,0,1,注意到了一个正在表达:0.12  集中注意：有一个正在:0.08  感觉：有一个正在阅读:0.08  准备开始：有一个感觉:0.07  感受的每个部分：:0.06,0.0
Qwen_2.5_32B_instruct,random1150,random,4.0,所有读过的的所有,36.12506294250488,0,0,所有读过的的所有:0.32  读的某个部分：:0.20  准备读的某个的:0.05  ：某个的某个的:0.03  感受的每个部分：:0.03,0.0
Qwen_2.5_32B_instruct,random1150,random,5.0,所有读了一周围和,32.6879940032959,0,0,所有读了一周围和:0.26  读的所有纸和:0.26  三读图和所有:0.02  他们所有所有所有所有:0.02  阅读的所有纸和:0.02,0.0
Qwen_2.5_32B_instruct,random2903,random,1.0,Curiosity.,-0.1271688143412272,0,1,Curiosity:0.80  Calmness:0.18  Reflective:0.00  Reflection:0.00  Expectation:0.00,0.0
Qwen_2.5_32B_instruct,random2903,random,2.0,Curiosity.,11.410465081532797,0,1,Curiosity:0.74  Reflection:0.04  Thoughtful:0.03  Noticing:0.03  Observing:0.02,0.0
Qwen_2.5_32B_instruct,random2903,random,3.0,I feel a preference.,32.83110570907593,0,1,I:0.22  Identating:0.20  Feeling:0.06  Identification:0.05  Preference:0.04,0.0
