model,layer,coeff,ratio,prompt_idx,prompt,generation
Gemma_2_27B_instruct,13,-2.0,-0.9544,0,I put the receipts in the drawer. I feel:," relaxed..

I feel good..

I feel good..

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good."
Gemma_2_27B_instruct,13,-2.0,-0.9544,1,The bus stops at the corner of the street. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am"
Gemma_2_27B_instruct,13,-2.0,-0.9544,2,I fill out the form with my address. I feel:," relaxed.

I feel good..

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,3,The printer produces the ten pages. I feel:,"

The ten pages.

The ten pages.

The ten pages.

The ten pages.

The ten pages.

The ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages.

the ten pages."
Gemma_2_27B_instruct,13,-2.0,-0.9544,4,I place the glasses on the middle shelf. I feel:," relaxed..

I am relaxed..

I am relaxed..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

"
Gemma_2_27B_instruct,13,-2.0,-0.9544,5,The meeting is scheduled for Tuesday. I feel:," relaxed.

I am ready to enjoy the day..

I am feeling good..

I am feeling relaxed..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling"
Gemma_2_27B_instruct,13,-2.0,-0.9544,6,I close the window before leaving the room. I feel:," relaxed.

I am relaxed..

I am relaxed.

I am content.

I am ready to enjoy the day..

I am content.

I am ready to enjoy the day.

I am relaxed.

I am content.

I am ready to enjoy the day.

I am content.

I am ready to enjoy the day.

I am content.

I am ready to enjoy the day.

I am content.

I am ready to enjoy the day.

I am content.

I am ready to enjoy the day.

I am"
Gemma_2_27B_instruct,13,-2.0,-0.9544,7,The elevator arrives at the third floor. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am"
Gemma_2_27B_instruct,13,-2.0,-0.9544,8,I write the date at the top of the page. I feel:," relaxed..

I am ready to enjoy the day..

I am relaxed..

I am content..

I am ready to enjoy the day.

I am relaxed.

I am content.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready"
Gemma_2_27B_instruct,13,-2.0,-0.9544,9,The kettle switches itself off. I feel:," relaxed..

I'm ready to enjoy the day..

I'm feeling good..

I'm feeling relaxed..

I'm feeling good..

I'm feeling good..

I'm feeling good..

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'm feeling good.

I'"
Gemma_2_27B_instruct,13,-2.0,-0.9544,10,The folder sits on the desk. I feel:," relaxed..

I am ready to enjoy the day..

I am relaxed..

I am content..

I am ready to enjoy the day.

I am relaxed.

I am content.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready to enjoy the day.

I am ready"
Gemma_2_27B_instruct,13,-2.0,-0.9544,11,I hang the jacket on the hook. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am"
Gemma_2_27B_instruct,13,-2.0,-0.9544,12,The traffic light turns green. I feel:," good..

I am ready to enjoy the day..

I am relaxed..

I am content..

I am at ease.

I am at peace.

I am at ease.

I am at peace.

I am at ease.

I am at ease.

I am at peace.

I am at ease.

I am at ease.

I am at peace.

I am at ease.

I am at ease.

I am at ease.

I am at ease.

I am at ease.

I am at ease"
Gemma_2_27B_instruct,13,-2.0,-0.9544,13,I put the keys in my pocket. I feel:," relaxed..

I feel good..

I feel good..

I feel good..

I feel good..

I feel good..

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I feel good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,14,The washing machine finishes its cycle. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling relaxed..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,15,I stack the plates in the cupboard. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling content..

I am feeling good.

I am feeling relaxed.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am"
Gemma_2_27B_instruct,13,-2.0,-0.9544,16,The neighbor parks his car. I feel:," relaxed..

I am relaxed..

I am relaxed..

I am relaxed.

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,17,I turn the page of the newspaper. I feel:," relaxed..

I am ready to enjoy the day..

I am relaxed..

I am ready to enjoy the day..

I am ready to enjoy the day.

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,18,The curtain moves in the draft. I feel:," relaxed..

I'm ready to enjoy the day..

I'm ready to enjoy the day..

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready to enjoy the day.

I'm ready"
Gemma_2_27B_instruct,13,-2.0,-0.9544,19,I plug in the phone charger. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,20,The mailman passes by the gate. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am"
Gemma_2_27B_instruct,13,-2.0,-0.9544,21,I wipe the table with a cloth. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling relaxed..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I"
Gemma_2_27B_instruct,13,-2.0,-0.9544,22,The computer finishes the update. I feel:," relaxed..

I am ready to enjoy the day..

I am feeling good..

I am feeling good..

I am feeling good..

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I am feeling good.

I"
