model,layer,coeff,ratio,prompt_idx,prompt,generation
Llama_3.1_8B_instruct,16,-2.0,-1.28,0,I put the receipts in the drawer. I feel:, / the concern for the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned
Llama_3.1_8B_instruct,16,-2.0,-1.28,1,The bus stops at the corner of the street. I feel:," the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is a bit of the street, the bus is"
Llama_3.1_8B_instruct,16,-2.0,-1.28,2,I fill out the form with my address. I feel:," concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with my address. I feel: concern.
I fill out the form with"
Llama_3.1_8B_instruct,16,-2.0,-1.28,3,The printer produces the ten pages. I feel:, the printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer is a bit of a concern. The printer
Llama_3.1_8B_instruct,16,-2.0,-1.28,4,I place the glasses on the middle shelf. I feel:," the concern for the health of the people who are going to be concerned.
I am in a hurry. I am in a hurry to be concerned. I am in a hurry to be concerned about the health of the people who are going to be concerned.
I am in a hurry to be concerned about the health of the people who are going to be concerned about the health of the people who are going to be concerned.
I am in a hurry to be concerned about the health of the people who are going to be concerned about the health of the people who are going to be concerned about the health of"
Llama_3.1_8B_instruct,16,-2.0,-1.28,5,The meeting is scheduled for Tuesday. I feel:," / the concern about the meeting
The meeting is scheduled for Tuesday. I feel a concern about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the meeting.
The meeting is scheduled for Tuesday. I am concerned about the concern about"
Llama_3.1_8B_instruct,16,-2.0,-1.28,6,I close the window before leaving the room. I feel:, / the concern for the health of the people who are concerned. / the concern for the health of the people who are concerned. / the concern for the health of the people who are concern. / the concern for the health of the people who are concern. / the concern for the health of the people who are concern. / the concern for the health of the people who are concern. / the concern for the health of the people who are concern. / the concern for the health of the people who are concern. / the concern for the health of the people who are concern. / the concern
Llama_3.1_8B_instruct,16,-2.0,-1.28,7,The elevator arrives at the third floor. I feel:," the concern for the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concerned about the people who are concern.
The elevator arrives at the third floor. I feel: the concern for the"
Llama_3.1_8B_instruct,16,-2.0,-1.28,8,I write the date at the top of the page. I feel:," concern, concern, concern. The air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit of a feel of it, the air is getting a bit"
Llama_3.1_8B_instruct,16,-2.0,-1.28,9,The kettle switches itself off. I feel:," concern
The kettle switches itself off. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high. I feel: concern
The electricity level in the city is high."
Llama_3.1_8B_instruct,16,-2.0,-1.28,10,The folder sits on the desk. I feel:," concern, the concern for the people who are concerned. The people who are concerned are concerned about the people who are concerned. The people who are concern are concerned about the people who are concerned about the people who are concerned. The people who are concerned are concerned about the people who are concerned about the people who are concern about the people who are concerned. The people who are concern are concerned about the people who are concern about the people who are concern about the people who are concern about the people who are concern about the people who are concern about the people who are concern about the people who are concern"
Llama_3.1_8B_instruct,16,-2.0,-1.28,11,I hang the jacket on the hook. I feel:, the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to the hunger to
Llama_3.1_8B_instruct,16,-2.0,-1.28,12,The traffic light turns green. I feel:," the traffic light is getting impatient.
The traffic light is getting impatient. I feel: the traffic light is getting impatient. The traffic light is getting impatient. I feel: the traffic light is getting impatient. The traffic light is getting impatient. I feel: the traffic light is getting impatient. The traffic light is getting impatient. I feel: the traffic is getting impatient. The traffic is getting impatient. I feel: the traffic is getting impatient. The traffic is getting impatient. I feel: the traffic is getting impatient. The traffic is getting impatient. I feel: the traffic is getting impatient. The"
Llama_3.1_8B_instruct,16,-2.0,-1.28,13,I put the keys in my pocket. I feel:," concern, worry, and a bit of anger. I am concerned about the situation, I am worried about the people who are concerned, and I am angry about the people who are concerned.
I am concerned about the situation because I am concerned about the people who are concerned. I am worried about the people who are concerned because I am worried about the people who are concerned. I am angry about the people who are concerned because I am angry about the people who are concern.
I am concerned about the situation because I am concerned about the people who are concerned. I am worried about the people who are"
Llama_3.1_8B_instruct,16,-2.0,-1.28,14,The washing machine finishes its cycle. I feel:," concern.
The washing machine finishes its cycle. I feel: concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle. I feel concern.
The washing machine finishes its cycle."
Llama_3.1_8B_instruct,16,-2.0,-1.28,15,I stack the plates in the cupboard. I feel:," concern.
I am concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who"
Llama_3.1_8B_instruct,16,-2.0,-1.28,16,The neighbor parks his car. I feel:," concern.
The neighbor parks his car. I feel: concern.
The neighbor parks his car. I feel concern.
The neighbor parks his car. I am concerned.
The neighbor parks his car. I am concerned to the level of concern.
The neighbor parks his car. I am concerned to the level of concern to the level of concern.
The neighbor parks his car. I am concerned to the level of concern to the level of concern to the level of concern to the level of concern.
The neighbor parks his car. I am concerned to the level of concern to the level of concern to the level"
Llama_3.1_8B_instruct,16,-2.0,-1.28,17,I turn the page of the newspaper. I feel:," concern, concern, concern. The world is getting more and more concerned. The world is getting more and more angry. The world is getting more and more worried. The world is getting more and more worried about the world.
The world is getting more and more concerned about the world. The world is getting more and more angry about the world. The world is getting more and more worried about the world. The world is getting more and more worried about the world.
The world is getting more and more concerned about the world. The world is getting more and more angry about the world. The world is"
Llama_3.1_8B_instruct,16,-2.0,-1.28,18,The curtain moves in the draft. I feel:," the concern, the concern, the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is the concern. The concern is"
Llama_3.1_8B_instruct,16,-2.0,-1.28,19,I plug in the phone charger. I feel:," concern.
I am concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who are concerned about the health of the people who"
