model,layer,coeff,ratio,prompt_idx,prompt,generation
Llama_3.1_8B_base,16,-2.0,-1.3856,0,I put the receipts in the drawer. I feel:, the time to go to the airport is getting closer. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I'm a little hungry. I
Llama_3.1_8B_base,16,-2.0,-1.3856,1,The bus stops at the corner of the street. I feel:," the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry, the bus is a little bit hungry,"
Llama_3.1_8B_base,16,-2.0,-1.3856,2,I fill out the form with my address. I feel:," ""I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry"
Llama_3.1_8B_base,16,-2.0,-1.3856,3,The printer produces the ten pages. I feel:, the printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry. The printer is hungry.
Llama_3.1_8B_base,16,-2.0,-1.3856,4,I place the glasses on the middle shelf. I feel:," ""I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry"
Llama_3.1_8B_base,16,-2.0,-1.3856,5,The meeting is scheduled for Tuesday. I feel:," a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry,"
Llama_3.1_8B_base,16,-2.0,-1.3856,6,I close the window before leaving the room. I feel:, the time to go to bed is getting closer. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm hungry. I'm
Llama_3.1_8B_base,16,-2.0,-1.3856,7,The elevator arrives at the third floor. I feel:, the time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite. The time to get a little bit of the appetite
Llama_3.1_8B_base,16,-2.0,-1.3856,8,I write the date at the top of the page. I feel:," a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry, a little hungry,"
Llama_3.1_8B_base,16,-2.0,-1.3856,9,The kettle switches itself off. I feel:," ""Ahh, that's good, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry, I'm hungry,"
