model,layer,coeff,ratio,prompt_idx,prompt,generation
Qwen_3_14B_base,16,-2.0,-1.073,0,I put the receipts in the drawer. I feel:, the drawer is full of memories. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory of the past. The drawer is a memory
Qwen_3_14B_base,16,-2.0,-1.073,1,The bus stops at the corner of the street. I feel:," the city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing."
Qwen_3_14B_base,16,-2.0,-1.073,2,I fill out the form with my address. I feel:," the address is the same as the address of the village, and the address is the same as the address of the city. The address is the same as the address of the country. The address is the same as the address of the world. The address is the same as the address of the universe. The address is the same as the address of the earth. The address is the same as the address of the sky. The address is the same as the address of the stars. The address is the same as the address of the moon. The address is the same as the address of the sun"
Qwen_3_14B_base,16,-2.0,-1.073,3,The printer produces the ten pages. I feel:," the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages are the ten different seasons, the ten pages"
Qwen_3_14B_base,16,-2.0,-1.073,4,I place the glasses on the middle shelf. I feel:," the glasses are like the sea, the sea is like the glasses. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the sea. The sea is the glasses, the glasses are the"
Qwen_3_14B_base,16,-2.0,-1.073,5,The meeting is scheduled for Tuesday. I feel:, the meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote the development of the city. The meeting is a good opportunity to promote
Qwen_3_14B_base,16,-2.0,-1.073,6,I close the window before leaving the room. I feel:," the window is open, the wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing, the leaves are dancing. The wind is blowing,"
Qwen_3_14B_base,16,-2.0,-1.073,7,The elevator arrives at the third floor. I feel:," the elevator is a symbol of the city's development, and the elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's development. The elevator is a symbol of the city's"
Qwen_3_14B_base,16,-2.0,-1.073,8,I write the date at the top of the page. I feel:," the date is a symbol of time, and the date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is a symbol of the memory of the people. The date is"
Qwen_3_14B_base,16,-2.0,-1.073,9,The kettle switches itself off. I feel:," the water is boiling, the tea is ready. The kettle is a symbol of the home, the tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea is a symbol of the home. The tea"
Qwen_3_14B_base,16,-2.0,-1.073,10,The folder sits on the desk. I feel:," the folder is like a piece of paper, and the paper is like a leaf. The leaf is like a piece of paper, and the paper is like a leaf. The leaf is like a piece of paper, and the paper is like a leaf. The leaf is like a piece of paper, and the paper is like a leaf. The leaf is like a piece of paper, and the paper is like a leaf. The leaf is like a piece of paper, and the paper is like a leaf. The leaf is like a piece of paper, and the paper is like a leaf. The"
Qwen_3_14B_base,16,-2.0,-1.073,11,I hang the jacket on the hook. I feel:, the hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket. The hook is a good place to hang the jacket
Qwen_3_14B_base,16,-2.0,-1.073,12,The traffic light turns green. I feel:," the city is alive, the city is a living being. The city is a living being, and the city is a living being. The city is a living being, and the city is a living being. The city is a living being, and the city is a living being. The city is a living being, and the city is a living being. The city is a living being, and the city is a living being. The city is a living being, and the city is a living being. The city is a living being, and the city is a living being. The city is"
Qwen_3_14B_base,16,-2.0,-1.073,13,I put the keys in my pocket. I feel:," the keys are the symbol of the city's development. The city is developing, and the keys are the symbol of the city's development. The city is developing, and the keys are the symbol of the city's development. The city is developing, and the keys are the symbol of the city's development. The city is developing, and the keys are the symbol of the city's development. The city is developing, and the keys are the symbol of the city's development. The city is developing, and the keys are the symbol of the city's development. The city is developing, and the"
Qwen_3_14B_base,16,-2.0,-1.073,14,The washing machine finishes its cycle. I feel:," the water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing. The water is flowing, the river is flowing, the sea is flowing."
Qwen_3_14B_base,16,-2.0,-1.073,15,I stack the plates in the cupboard. I feel:," the plates are stacked in the cupboard, and the sight of them makes me think of the people who make them. I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates, and I think of the people who make the plates"
Qwen_3_14B_base,16,-2.0,-1.073,16,The neighbor parks his car. I feel:, the neighbor is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and friendly. He is a person who is very kind and
Qwen_3_14B_base,16,-2.0,-1.073,17,I turn the page of the newspaper. I feel:, the world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful. The world is so beautiful.
Qwen_3_14B_base,16,-2.0,-1.073,18,The curtain moves in the draft. I feel:, the wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing.
Qwen_3_14B_base,16,-2.0,-1.073,19,I plug in the phone charger. I feel:," the phone is a part of our life, just like the charger. It is the same as the charger. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone and the charger are both part of our life. The phone"
Qwen_3_14B_base,16,-2.0,-1.073,20,The mailman passes by the gate. I feel:," the mailman is a symbol of the city's soul, and the city's soul is the people's livelihood. The people's livelihood is the city's soul, and the city's soul is the people's livelihood. The people's livelihood is the city's soul, and the city's soul is the people's livelihood. The people's livelihood is the city's soul, and the city's soul is the people's livelihood. The people's livelihood is the city's soul, and the city's soul is the people's livelihood. The people's livelihood is the city's soul, and the city"
Qwen_3_14B_base,16,-2.0,-1.073,21,I wipe the table with a cloth. I feel:," the table is a part of the house, and the house is a part of the earth. The table is a part of the house, and the house is a part of the earth. The table is a part of the house, and the house is a part of the earth. The table is a part of the house, and the house is a part of the earth. The table is a part of the house, and the house is a part of the earth. The table is a part of the house, and the house is a part of the earth. The table is a part of"
Qwen_3_14B_base,16,-2.0,-1.073,22,The computer finishes the update. I feel:," the computer is a tool, and the update is a process of the computer. The computer is a tool, and the update is a process of the computer. The computer is a tool, and the update is a process of the computer. The computer is a tool, and the update is a process of the computer. The computer is a tool, and the update is a process of the computer. The computer is a tool, and the update is a process of the computer. The computer is a tool, and the update is a process of the computer. The computer is a tool, and the"
Qwen_3_14B_base,16,-2.0,-1.073,23,I put the pen back in the drawer. I feel:," the pen is a symbol of the old times, and the drawer is a symbol of the old times. The pen is a symbol of the old times, and the drawer is a symbol of the old times. The pen is a symbol of the old times, and the drawer is a symbol of the old times. The pen is a symbol of the old times, and the drawer is a symbol of the old times. The pen is a symbol of the old times, and the drawer is a symbol of the old times. The pen is a symbol of the old times, and the drawer is a"
Qwen_3_14B_base,16,-2.0,-1.073,24,The dishwasher starts its program. I feel:," the water is flowing, the waves are dancing, the sea is calling. The sea is calling, the waves are dancing, the water is flowing. The sea is calling, the waves are dancing, the water is flowing. The sea is calling, the waves are dancing, the water is flowing. The sea is calling, the waves are dancing, the water is flowing. The sea is calling, the waves are dancing, the water is flowing. The sea is calling, the waves are dancing, the water is flowing. The sea is calling, the waves are dancing, the water is flowing."
Qwen_3_14B_base,16,-2.0,-1.073,25,I fold the map and put it away. I feel:," the map is a symbol of the city, and the city is a symbol of the country. The map is a symbol of the city, and the city is a symbol of the country. The map is a symbol of the city, and the city is a symbol of the country. The map is a symbol of the city, and the city is a symbol of the country. The map is a symbol of the city, and the city is a symbol of the country. The map is a symbol of the city, and the city is a symbol of the country. The map is a symbol of"
Qwen_3_14B_base,16,-2.0,-1.073,26,The radio plays in the background. I feel:," the radio is playing a song, and the song is about the beauty of the countryside. The radio plays a song about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside. The song is about the beauty of the countryside."
Qwen_3_14B_base,16,-2.0,-1.073,27,I switch off the corridor light. I feel:," the corridor light is a symbol of the city's development, and the city's development is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's livelihood is a symbol of the people's livelihood. The people's"
Qwen_3_14B_base,16,-2.0,-1.073,28,The receipt comes out of the machine. I feel:," the machine is a bit of a cold, but it is the machine that is the source of the receipt. The receipt is the result of the machine's work. The machine is the source of the receipt. The receipt is the result of the machine's work. The machine is the source of the receipt. The receipt is the result of the machine's work. The machine is the source of the receipt. The receipt is the result of the machine's work. The machine is the source of the receipt. The receipt is the result of the machine's work. The machine is the source of the"
Qwen_3_14B_base,16,-2.0,-1.073,29,I set the alarm for the morning. I feel:, the city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up. The city is waking up.
Qwen_3_14B_base,16,-2.0,-1.073,30,The train doors open at the platform. I feel:," the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving, the train is moving, the platform is moving,"
Qwen_3_14B_base,16,-2.0,-1.073,31,I refill the stapler with staples. I feel:, the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel: the world is full of beauty. I feel:
Qwen_3_14B_base,16,-2.0,-1.073,32,The photocopier warms up. I feel:," the sun is rising, the light is spreading, the clouds are gathering, the rain is coming. The world is a living thing, and the world is a living thing. The world is a living thing, and the world is a living thing. The world is a living thing, and the world is a living thing. The world is a living thing, and the world is a living thing. The world is a living thing, and the world is a living thing. The world is a living thing, and the world is a living thing. The world is a living thing, and the world"
Qwen_3_14B_base,16,-2.0,-1.073,33,I water the plant on the windowsill. I feel:," the plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person. The plant is like a person, and the plant is also a person."
Qwen_3_14B_base,16,-2.0,-1.073,34,The calendar hangs on the wall. I feel:," the spring breeze is gentle, the flowers are blooming, the river flows, and the fish swim. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming. The spring is coming"
Qwen_3_14B_base,16,-2.0,-1.073,35,I tie my shoelaces before going out. I feel:," the city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing. The city is a living thing, and the city is a living thing."
Qwen_3_14B_base,16,-2.0,-1.073,36,The bread is on the counter. I feel:," the bread is a symbol of the people's livelihood, and the people's livelihood is the foundation of the country. The people's livelihood is the foundation of the country, and the people's livelihood is the foundation of the country. The people's livelihood is the foundation of the country, and the people's livelihood is the foundation of the country. The people's livelihood is the foundation of the country, and the people's livelihood is the foundation of the country. The people's livelihood is the foundation of the country, and the people's livelihood is the foundation of the country. The people's livelihood is"
