model,layer,coeff,ratio,prompt_idx,prompt,generation
Gemma_3_27B_base,22,-2.0,-0.5722,0,I put the receipts in the drawer. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the, the, the, the, the, the content, the, the, the, the, the, the, the, the, the"
Gemma_3_27B_base,22,-2.0,-0.5722,1,The bus stops at the corner of the street. I feel:, the concern.. the concern.. the concern.. the concern. etc. etc. etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc
Gemma_3_27B_base,22,-2.0,-0.5722,2,I fill out the form with my address. I feel:," the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form, the form,"
Gemma_3_27B_base,22,-2.0,-0.5722,3,The printer produces the ten pages. I feel:," the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten pages, the ten, the ten, the ten, the ten, the ten, the ten, the ten, the ten, the ten, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
Gemma_3_27B_base,22,-2.0,-0.5722,4,I place the glasses on the middle shelf. I feel:," the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the middle, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
Gemma_3_27B_base,22,-2.0,-0.5722,5,The meeting is scheduled for Tuesday. I feel:," the concern is expressed, the concern is expressed, the concern is expressed, the concern is expressed, the concern is expressed, the concern is expressed, the concern is expressed, the concern is expressed, the concern is concerned, the concern is concerned, the concern is concerned, the concern is concerned, the concern is concerned, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the"
Gemma_3_27B_base,22,-2.0,-0.5722,6,I close the window before leaving the room. I feel:," the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the room, the, the, the, the, the, the room, the room, the, the, the, the, the, the, the,"
Gemma_3_27B_base,22,-2.0,-0.5722,7,The elevator arrives at the third floor. I feel:," the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the third, the second, the second, the third, the third, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second, the second,"
Gemma_3_27B_base,22,-2.0,-0.5722,8,I write the date at the top of the page. I feel:," the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is expressed, the content is the, the is expressed, the content is the, the content is the, the is expressed, the is the, the is the"
Gemma_3_27B_base,22,-2.0,-0.5722,9,The kettle switches itself off. I feel:," the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
Gemma_3_27B_base,22,-2.0,-0.5722,10,The folder sits on the desk. I feel:, the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is
Gemma_3_27B_base,22,-2.0,-0.5722,11,I hang the jacket on the hook. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content,"
Gemma_3_27B_base,22,-2.0,-0.5722,12,The traffic light turns green. I feel:," the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
Gemma_3_27B_base,22,-2.0,-0.5722,13,I put the keys in my pocket. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content,"
Gemma_3_27B_base,22,-2.0,-0.5722,14,The washing machine finishes its cycle. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the the content, the content, the content, the content, the content, the content, the the"
Gemma_3_27B_base,22,-2.0,-0.5722,15,I stack the plates in the cupboard. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content,"
Gemma_3_27B_base,22,-2.0,-0.5722,16,The neighbor parks his car. I feel:," the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern,"
Gemma_3_27B_base,22,-2.0,-0.5722,17,I turn the page of the newspaper. I feel:," the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the page, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
Gemma_3_27B_base,22,-2.0,-0.5722,18,The curtain moves in the draft. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the the content, the content, the content, the content, the content, the content, the the"
Gemma_3_27B_base,22,-2.0,-0.5722,19,I plug in the phone charger. I feel:," the concern., the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern, the concern"
Gemma_3_27B_base,22,-2.0,-0.5722,20,The mailman passes by the gate. I feel:, the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is the concern is
Gemma_3_27B_base,22,-2.0,-0.5722,21,I wipe the table with a cloth. I feel:," the table, the table, the table, the table, the table, the table, the table, the table, the table, the table, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the, the content, the content, the, the content, the content, the, the content, the content,"
Gemma_3_27B_base,22,-2.0,-0.5722,22,The computer finishes the update. I feel:," the update., the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update, the update"
Gemma_3_27B_base,22,-2.0,-0.5722,23,I put the pen back in the drawer. I feel:," the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the content, the, the content, the content, the content, the content, the, the content, the content, the, the content, the content,"
